cca,Prommm,Decaim,haCorr,pc1,pc2,Altmed,Altdif,Pendmd,LLanuras,LomT,VallTot,Vp_Vt,Rugos,InsVer,InsEq,InsInv,PG,PF,PCR,CES,PR,PRL,R,RT,ndvip16,ndviv1617,ndvio17,ndvii17
11,0.608706034203758,0.631034865025757,58.4,-1.984615,-0.25191711,2145.5339,11.6461822776323,9.6316,19.617791307289,35.7179096905124,30.424488415356,25.2918287937743,5.2403,78.0311,55.5606,31.6865,44.4613,19.7024,7.1875,6.6125,11.3648,0.963947556232031,9.70737278877051,19.065134449518,0.202007334992061,0.241876109075276,0.172491433096136,0.124533925191962
12,0.376369846676453,0.810215794044175,34,-1.0861251,-0.95324872,2129.7125,11.3189066194056,10.364,10.8874397504962,35.9228806351007,32.5205557130706,11.7698343504795,6.3744,80.0746,58.0167,34.1639,17.3803,7.7403,13.269,29.3167,5.4437,0.6238,26.2262491068897,30.744051601928,0.215994863342003,0.223690043240051,0.177152645225548,0.132036771534864
13,1.15983713278852,0.48826084036607,40.6,-2.4228383,-1.7346444,2197.5568,11.6136491806254,10.5859,14.5808311313956,40.0672591880855,31.9240932020178,22.3476297968397,6.2953,79.1975,57.1799,33.3812,53.9035,18.4002,4.564,10.5933,5.1165,0,7.42252118664425,13.764638481864,0.21912395726958,0.25666807696973,0.171068712244382,0.130873621858941
14,1.16027082542994,0.582230749588276,24.6,-3.0965541,0.15381307,2165.1453,10.8874508203644,8.9692,15.4423380726698,31.1611374407583,23.6571879936809,8.68113522537563,4.7487,79.5016,57.0991,33.2081,69.3918,9.3997,2.2907,1.4218,5.0158,0.0395,12.4408244865719,14.5302093206951,0.215633923676048,0.244016879883661,0.151045617478858,0.121248651698405
15,2.04581293629316,0.225423808853106,56.2,-1.6970044,0.52097994,2155.4819,10.0044474096039,9.4205,16.5238678090575,37.6814128344116,31.1767791571953,19.6859226023556,5.3845,81.5763,59.8057,35.9451,33.922,39.2901,3.2348,1.7486,7.2915,0,14.5129148802238,21.8066410211575,0.188014597600054,0.221321902208819,0.146282265537513,0.115012717157849
16,1.89813854682585,0.253765458959142,42.8,-2.2047949,-1.96283483,2194.3122,12.8397746508306,11.7031,9.18992511912866,34.331744951214,35.23939187656,23.2453316162267,7.1085,80.3715,58.8654,35.0978,48.0599,28.4547,4.1297,5.3324,7.3292,0.272264692534604,6.42157329248922,15.1522237349671,0.216831118871767,0.25365686069275,0.190884922638159,0.134597202198468
17,0.00702737176119506,1,32.6,-2.4479893,0.24432934,2119.5581,10.6836840225869,9.01,21.5818876800941,36.7832990296972,30.6968538665099,13.8888888888889,5.5415,81.3475,59.4166,35.5666,62.2758,18.3769,3.1756,3.6754,2.5875,0,9.90888726845046,13.2352866803881,0.199822365729032,0.231458975428124,0.145315216055598,0.115549512031257
18,0.901704049824005,0.445456851833129,53,-2.7720532,0.13945268,2106.1983,6.3185859416397,7.6897,26.1173441235976,36.067684384771,29.4096008828398,14.3214509068168,5.1581,79.7642,57.19,33.2547,48.2987,13.9599,4.7269,12.5436,5.2786,0.1655,15.026682048924,19.2348813684017,0.190046490419096,0.229970304347954,0.17864963552525,0.124814620930722
19,0.558144766330507,0.254280531531538,49.6,-2.7603314,0.39729433,2177.8549,6.67355155240301,7.5863,26.3559819855101,36.5185040140983,31.4470334834541,12.079701120797,4.5788,81.5874,59.2436,35.353,54.7092,20.4425,2.7805,1.3119,5.9135,0,14.8423450949677,18.84845506168,0.199488916445852,0.237398496029944,0.153752213580674,0.121067635989262
20,0.628560723061247,0.943756907298905,38,-2.5151064,0.28380547,2096.6806,10.3821709523688,8.6947,18.3138053998981,35.7615894039735,28.5787060621498,11.9429590017825,5.455,81.1724,59.0316,35.1559,40.321,33.6984,2.4961,3.7443,6.3423,0,13.3979597554763,20.11158430973,0.214612935150152,0.228257300649225,0.163738649026695,0.121287123071419
