plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam
Copaifera_langsdorffii,Pitangus_sulphuratus,Motta-Jr_e_Lombardi_(1990),(a) Gulpers,6.666666667,16.35,9
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),(a) Gulpers,6.666666667,29.7,13.3575
Euterpe_edulis,Tachyphonus_coronatus,C?rtes_(2003),(b) Mashers,6.666666667,9.77,13.3575
Myrsine_coriacea,Cyanocorax_cristatellus,Pascotto_(2007),(a) Gulpers,6.606606607,18.2,3.262
Myrsine_coriacea,Turdus_amaurochalinus,de_Jesus_e_Monteiro-Filho_(2007),(a) Gulpers,6.578947368,12.48,3.262
Vitis_vulpina,Catharus_ustulatus,Malmborg_and_Willson,(a) Gulpers,6.5,11.1,9.8
Vitis_vulpina,Dumetella_carolinensis,Malmborg_and_Willson,(a) Gulpers,6.5,11.25,9.8
Alchornea_glandulosa,Turdus_albicollis,Zimmermann_(1996),(a) Gulpers,6.375,12.51891892,4.4
Myrsine_coriacea,Hemithraupis_guira,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,6.346153846,7.7,3.262
Schefflera_morototoni,Dryocopus_lineatus,Purifica??o_et_al._(2015),(a) Gulpers,6.337078652,17.62,9.2
Miconia_chamissois,Mimus_saturninus,Am?ncio_&_Melo_(2008),(a) Gulpers,6.333630687,12.15,5.4
Miconia_albicans,Turdus_leucomelas,Allenspach_e_Dias_(2012),(a) Gulpers,6.290502793,14.1125,7.62
Nectandra_megapotamica,Chiroxiphia_caudata,Krugel_et_al._(2006),(a) Gulpers,6.25,11.08787879,8.700666667
Schinus_terebinthifolius,Hemithraupis_guira,de_Jesus_e_Monteiro-Filho_(2007),(b) Mashers,6.218934911,7.7,5.1
Myrsine_coriacea,Elaenia_flavogaster,Pascotto_(2007),(a) Gulpers,6.206896552,10.7,3.262
Myrsine_coriacea,Myiodynastes_maculatus,Pascotto_(2007),(a) Gulpers,6.19047619,15.92,3.262
