cca,Lat,Lon,haCorr,Perimetro,PerArea,F0,F7,F14,F21,F28,F35,F42,Prom,Prim,Ult,Decaim,PC1,PC2,F0mm,F7mm,F14mm,F21mm,F28mm,F35mm,F42mm
24,-31.694944,-64.827306,44.7,3512,78.5682326621924,7.64876957494407,6.1882923191648,5.32265313880034,3.21194782149117,2.98047589993899,3.1772792942845,1.39959517548988,4.27557331773054,6.91853094705444,2.51911678990446,0.466155792181285,-1.53,0.07,1.9825610738255,1.60400536912752,1.37963169357705,0.832536875330511,0.772539353264185,0.823550793078542,0.362775069486977
25,-31.73806,-64.82907,61.5,4056,65.9512195121951,1.059519582925,0.948168064127086,0.654806895308531,0.204039223384799,0.0010840108401084,0,0,0.40965968236936,1.00384382352604,0.0003613369467028,0.999280352340486,-2.37,-0.17,0.274627475894159,0.245765162221741,0.169725947263971,0.05288696670134,0.000280975609756098,0,0
26,-31.3871388888889,-64.8031388888889,18.4,1976,107.391304347826,14.749372909699,13.4097437888199,12.6176242236025,12.4615942028986,12.56,12.2425465838509,11.613198757764,12.8077257809478,14.0795583492594,12.1385817805383,0.0740318176313031,0.44,-0.38,3.82303745819398,3.47580559006211,3.27048819875776,3.2300452173913,3.255552,3.17326807453416,3.01014111801242
27,-31.3851944444444,-64.7965555555556,19.1,2132,111.623036649215,5.14988589072359,4.43044128646223,3.82485664422837,3.56680240449874,3.4477603257708,3.24200116346713,2.97120418848168,3.80470741480465,4.79016358859291,3.2203218925732,0.195973352640192,-1.61,-0.2,1.33485042287555,1.14837038145101,0.991402842183994,0.924515183246073,0.893659476439791,0.840326701570681,0.77013612565445
28,-31.44425,-64.8572222222222,16,1938,121.125,28.1982142857143,27.9013392857143,27.4482142857143,26.2816666666667,24.82975,24.1553571428572,24.0641071428571,26.1255212585034,28.0497767857143,24.3497380952381,0.0706120791171901,3.45,-0.57,7.30897714285714,7.23202714285714,7.11457714285714,6.812208,6.4358712,6.26106857142857,6.23741657142857
29,-31.4404166666667,-64.8062777777778,9.47,1356,143.189017951426,47.3887464172575,45.382410620003,43.9885352240157,40.6898979232665,36.6293558606125,34.0684869512747,32.6323729069241,40.1114008433363,46.3855785186303,34.4434052396038,0.147746176232359,6.53,-0.17,12.2831630713531,11.7631208327048,11.4018283300649,10.5468215417107,9.49432903907075,8.8305518177704,8.45831105747473
30,-31.4153333333333,-64.81075,27.2,2469,90.7720588235294,4.45535714285714,3.77468487394958,2.92909663865546,2.13209033613445,1.35451680672269,0.961805555555556,0.723039215686275,2.33294150993731,4.11502100840336,1.01312052598817,0.604878095039402,-1.96,-0.03,1.15482857142857,0.978398319327732,0.759221848739496,0.552637815126051,0.351090756302521,0.2493,0.187411764705882
31,-31.4153055555556,-64.80525,22.5,2446,108.711111111111,6.10095238095238,5.60222222222222,4.99555555555556,4.40079365079365,3.81079365079365,3.55333333333333,3.42888888888889,4.55607709750567,5.8515873015873,3.59767195767196,0.238528257303,-1.44,-0.16,1.58136685714286,1.452096,1.294848,1.14068571428571,0.987757714285714,0.921024,0.888768
32,-31.5817777777778,-64.8457777777778,23.5,2067,87.9574468085106,0.561094224924012,0.399290780141844,0.295035460992908,0.230614657210402,0.182127659574468,0.159827760891591,0.157168186423506,0.28359410430839,0.480192502532928,0.166374535629855,0.485360292715796,-2.39,-0.23,0.145435623100304,0.103496170212766,0.0764731914893617,0.0597753191489362,0.0472074893617021,0.0414273556231003,0.0407379939209727
33,-31.5777777777778,-64.8449166666667,23.7,1927,81.3080168776371,10.3749246534057,9.75015069318867,10.0265220012055,8.71448663853727,6.76708860759494,6.1036769138035,6.40325497287523,8.30572921151583,10.0625376732972,6.42467349809122,0.220647636364301,-0.61,-0.13,2.68918047016275,2.5272390596745,2.59887450271248,2.25879493670886,1.75402936708861,1.58207305605787,1.65972368896926
